frame.time,ip.src_host,ip.dst_host,arp.dst.proto_ipv4,arp.opcode,arp.hw.size,arp.src.proto_ipv4,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,icmp.unused,http.file_data,http.content_length,http.request.uri.query,http.request.method,http.referer,http.request.full_uri,http.request.version,http.response,http.tls_port,tcp.ack,tcp.ack_raw,tcp.checksum,tcp.connection.fin,tcp.connection.rst,tcp.connection.syn,tcp.connection.synack,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.len,tcp.options,tcp.payload,tcp.seq,tcp.srcport,udp.port,udp.stream,udp.time_delta,dns.qry.name,dns.qry.name.len,dns.qry.qu,dns.qry.type,dns.retransmission,dns.retransmit_request,dns.retransmit_request_in,mqtt.conack.flags,mqtt.conflag.cleansess,mqtt.conflags,mqtt.hdrflags,mqtt.len,mqtt.msg_decoded_as,mqtt.msg,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.topic,mqtt.topic_len,mqtt.ver,mbtcp.len,mbtcp.trans_id,mbtcp.unit_id,Attack_label,Attack_type
 2021 23:58:21.314757000 ,192.168.1.101,192.168.1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1686278051,0x00009506,0,0,0,0,1883,0x00000010,1,0,0,0,1,61822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.314960000 ,192.168.1.101,192.168.1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,742711175,0x000016f7,0,0,0,0,1883,0x00000010,1,0,0,0,1,61823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.315192000 ,192.168.1.101,192.168.1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1686278051,0x00009707,0,0,0,0,1883,0x00000010,1,0,0,0,1,61822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.315258000 ,192.168.1.128,192.168.1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00003eab,0,1,0,0,61822,0x00000004,0,0,0,0,1,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.315294000 ,192.168.1.101,192.168.1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1686278051,0x00009707,0,0,0,0,1883,0x00000010,1,0,0,0,1,61822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.315312000 ,192.168.1.128,192.168.1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00003eab,0,1,0,0,61822,0x00000004,0,0,0,0,1,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.315324000 ,192.168.1.101,192.168.1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,742711175,0x000060ed,0,0,0,0,1883,0x00000018,1,14,0,100c00044d5154540402003c0000,1,61823,0,0,0,0,0,0,0,0,0,0,0,1,0x00000002,0x00000010,12,0,0,1,4,MQTT,0,0,4,0,0,0,0,Normal
 2021 23:58:21.315353000 ,192.168.1.128,192.168.1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2498394403,0x000016f4,0,0,0,0,61823,0x00000010,1,0,0,0,1,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.315711000 ,192.168.1.128,192.168.1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2498394403,0x0000f6e5,0,0,0,0,61823,0x00000018,1,4,0,20020000,1,1883,0,0,0,0,0,0,0,0,0,0,0x00000000,0,0,0x00000020,2,0,0,2,0,0,0,0,0,0,0,0,0,Normal
 2021 23:58:21.319611000 ,192.168.1.101,192.168.1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,742711179,0x0000d848,0,0,0,0,1883,0x00000018,1,30,0,301c000844697374616e636544697374616e63653a2031373920636d0d0a,15,61823,0,0,0,0,0,0,0,0,0,0,0,0,0,0x00000030,28,0,44697374616e63653a2031373920636d0d0a,3,0,0,Distance,8,0,0,0,0,0,Normal
